,TF,TG,score
0,dmrt93B,CG14932,0.85471
1,dmrt93B,Gr63a,0.84326
2,dmrt93B,CG14955,0.83637
3,dmrt93B,Hsp70Aa,0.83425
4,dmrt93B,Hsp70Bc,0.83026
5,GATAe,PH4alphaPV,0.82495
6,fkh,MRE23,0.82274
7,shn,CG14471,0.81887
8,dmrt93B,Hsp70Bbb,0.81283
9,CG13510,CG13511,0.79432
10,srp,CG30046,0.78697
11,CG13510,Tsp29Fb,0.76413
12,dmrt93B,Hsp70Ab,0.76267
13,GATAe,CG18748,0.76038
14,GATAe,CG30413,0.75903
15,dmrt93B,Ucp4C,0.75777
16,dmrt93B,CG13035,0.75649
17,GATAe,CG15153,0.75648
18,dmrt93B,fan,0.74611
19,salm,salr,0.74189
20,dmrt93B,CG34051,0.73965
21,dmrt93B,Hsp26,0.73923
22,dmrt93B,CG13138,0.72797
23,kn,ap,0.7179
24,trh,CG14566,0.70865
25,GATAe,CG34236,0.70733
26,sage,CG43083,0.70544
27,dmrt93B,stv,0.70528
28,bap,CG13227,0.70335
29,dmrt93B,CG15196,0.70103
30,dmrt93B,CG13965,0.70082
31,exex,CG30457,0.69677
32,CG30269,CG30273,0.69323
33,GATAe,CG15044,0.68878
34,trh,CG10962,0.68804
35,GATAe,CG32302,0.68667
36,Jra,CG14207,0.6848
37,HGTX,CG4367,0.68206
38,GATAe,CG31464,0.68137
39,tll,gcm2,0.68012
40,dmrt93B,CG15515,0.67948
41,GATAe,CG8952,0.67632
42,fkh,bap,0.6759
43,gcm2,CG16957,0.67567
44,CG11617,dmrt93B,0.67548
45,dmrt93B,CG15617,0.67401
46,HLH4C,capa,0.67344
47,dmrt93B,CG15545,0.66679
48,dmrt93B,CG5389,0.66648
49,trh,bond,0.66526
50,dmrt93B,CG8565,0.66441
51,dmrt93B,CG13036,0.66405
52,dmrt93B,CG15824,0.6622
53,CG3281,aur,0.66101
54,CG30273,CG30269,0.65933
55,srp,CG43124,0.65734
